,Dummy variable treshold,Ime podatkovne baze,Ime relacije,Latentni faktor,Objektni tip 1,Objektni tip 2,RMSE,St. ponovitve,Vzorcenje
161,0,avtomobilizem,model drzava,20,model,drzava,0.23334,1,True
162,0,avtomobilizem,lastnistvo stranka,21,lastnistvo,stranka,0.00154,4,True
163,0,avtomobilizem,lastnistvo avtomobil,21,lastnistvo,avtomobil,0.00527,4,True
164,0,avtomobilizem,avtomobil model,21,avtomobil,model,0.01353,4,True
165,0,avtomobilizem,avtomobil drzava,21,avtomobil,drzava,0.0149,4,True
166,0,avtomobilizem,avtomobil stranka,21,avtomobil,stranka,0.1295,4,True
167,0,avtomobilizem,model drzava,21,model,drzava,0.2071,4,True
168,1,avtomobilizem,lastnistvo stranka,33,lastnistvo,stranka,0.00061,4,True
169,1,avtomobilizem,lastnistvo avtomobil,33,lastnistvo,avtomobil,0.00514,4,True
170,1,avtomobilizem,avtomobil stranka,33,avtomobil,stranka,0.2039,4,True
171,1,avtomobilizem,avtomobil drzava,33,avtomobil,drzava,3.07119,4,True
172,1,avtomobilizem,avtomobil model,33,avtomobil,model,15.74804,4,True
173,1,avtomobilizem,model drzava,33,model,drzava,156035.414,4,True
174,0,avtomobilizem,lastnistvo stranka,5,lastnistvo,stranka,0.00495,0,True
175,0,avtomobilizem,lastnistvo avtomobil,5,lastnistvo,avtomobil,0.00508,0,True
176,0,avtomobilizem,avtomobil model,5,avtomobil,model,0.01324,0,True
177,0,avtomobilizem,avtomobil drzava,5,avtomobil,drzava,0.05211,0,True
178,0,avtomobilizem,avtomobil stranka,5,avtomobil,stranka,0.13566,0,True
179,0,avtomobilizem,model drzava,5,model,drzava,0.23495,0,True
180,0,avtomobilizem,lastnistvo stranka,40,lastnistvo,stranka,0.00232,2,True
181,0,avtomobilizem,lastnistvo avtomobil,40,lastnistvo,avtomobil,0.00495,2,True
182,0,avtomobilizem,avtomobil stranka,40,avtomobil,stranka,0.12552,2,True
183,0,avtomobilizem,avtomobil drzava,40,avtomobil,drzava,0.43417,2,True
184,0,avtomobilizem,avtomobil model,40,avtomobil,model,6.02421,2,True
185,0,avtomobilizem,model drzava,40,model,drzava,84990.74453,2,True
186,0,avtomobilizem,lastnistvo stranka,16,lastnistvo,stranka,0.00092,4,True
187,0,avtomobilizem,lastnistvo avtomobil,16,lastnistvo,avtomobil,0.00525,4,True
188,0,avtomobilizem,avtomobil model,16,avtomobil,model,0.01372,4,True
189,0,avtomobilizem,avtomobil drzava,16,avtomobil,drzava,0.01948,4,True
190,0,avtomobilizem,avtomobil stranka,16,avtomobil,stranka,0.12931,4,True
191,0,avtomobilizem,model drzava,16,model,drzava,0.23341,4,True
192,0,avtomobilizem,lastnistvo stranka,9,lastnistvo,stranka,0.00255,4,True
193,0,avtomobilizem,lastnistvo avtomobil,9,lastnistvo,avtomobil,0.00528,4,True
194,0,avtomobilizem,avtomobil model,9,avtomobil,model,0.01291,4,True
195,0,avtomobilizem,avtomobil drzava,9,avtomobil,drzava,0.03123,4,True
196,0,avtomobilizem,avtomobil stranka,9,avtomobil,stranka,0.13006,4,True
197,0,avtomobilizem,model drzava,9,model,drzava,0.22894,4,True
198,2,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00121,2,True
199,2,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.00518,2,True
200,2,avtomobilizem,avtomobil model,19,avtomobil,model,0.01456,2,True
201,2,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.02028,2,True
202,2,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.12677,2,True
203,2,avtomobilizem,model drzava,19,model,drzava,0.19165,2,True
204,1,avtomobilizem,lastnistvo stranka,46,lastnistvo,stranka,0.00043,3,True
205,1,avtomobilizem,lastnistvo avtomobil,46,lastnistvo,avtomobil,0.00488,3,True
206,1,avtomobilizem,avtomobil model,46,avtomobil,model,0.00943,3,True
207,1,avtomobilizem,avtomobil drzava,46,avtomobil,drzava,0.00974,3,True
208,1,avtomobilizem,model drzava,46,model,drzava,0.11761,3,True
209,1,avtomobilizem,avtomobil stranka,46,avtomobil,stranka,0.12267,3,True
210,1,avtomobilizem,lastnistvo stranka,23,lastnistvo,stranka,0.00113,2,True
211,1,avtomobilizem,lastnistvo avtomobil,23,lastnistvo,avtomobil,0.00524,2,True
212,1,avtomobilizem,avtomobil model,23,avtomobil,model,0.00987,2,True
213,1,avtomobilizem,avtomobil drzava,23,avtomobil,drzava,0.01446,2,True
214,1,avtomobilizem,model drzava,23,model,drzava,0.12141,2,True
215,1,avtomobilizem,avtomobil stranka,23,avtomobil,stranka,0.12993,2,True
216,0,avtomobilizem,lastnistvo stranka,33,lastnistvo,stranka,0.0023,4,True
217,0,avtomobilizem,lastnistvo avtomobil,33,lastnistvo,avtomobil,0.00524,4,True
218,0,avtomobilizem,avtomobil drzava,33,avtomobil,drzava,0.01204,4,True
219,0,avtomobilizem,avtomobil model,33,avtomobil,model,0.01372,4,True
220,0,avtomobilizem,avtomobil stranka,33,avtomobil,stranka,0.13219,4,True
221,0,avtomobilizem,model drzava,33,model,drzava,0.23325,4,True
222,0,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.0009,3,True
223,0,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.00499,3,True
224,0,avtomobilizem,avtomobil model,18,avtomobil,model,0.01274,3,True
225,0,avtomobilizem,avtomobil drzava,18,avtomobil,drzava,0.0171,3,True
226,0,avtomobilizem,avtomobil stranka,18,avtomobil,stranka,0.12421,3,True
227,0,avtomobilizem,model drzava,18,model,drzava,0.21722,3,True
228,0,avtomobilizem,lastnistvo stranka,42,lastnistvo,stranka,0.00059,1,True
229,0,avtomobilizem,lastnistvo avtomobil,42,lastnistvo,avtomobil,0.00495,1,True
230,0,avtomobilizem,avtomobil drzava,42,avtomobil,drzava,0.01023,1,True
231,0,avtomobilizem,avtomobil model,42,avtomobil,model,0.01333,1,True
232,0,avtomobilizem,avtomobil stranka,42,avtomobil,stranka,0.12108,1,True
233,0,avtomobilizem,model drzava,42,model,drzava,0.22014,1,True
234,2,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00136,0,True
235,2,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.00522,0,True
236,2,avtomobilizem,avtomobil model,19,avtomobil,model,0.015,0,True
237,2,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.02069,0,True
238,2,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.12906,0,True
239,2,avtomobilizem,model drzava,19,model,drzava,0.19395,0,True
240,1,avtomobilizem,lastnistvo stranka,17,lastnistvo,stranka,0.00121,0,True
241,1,avtomobilizem,lastnistvo avtomobil,17,lastnistvo,avtomobil,0.0052,0,True
242,1,avtomobilizem,avtomobil model,17,avtomobil,model,0.0097,0,True
243,1,avtomobilizem,avtomobil drzava,17,avtomobil,drzava,0.0176,0,True
244,1,avtomobilizem,model drzava,17,model,drzava,0.11397,0,True
245,1,avtomobilizem,avtomobil stranka,17,avtomobil,stranka,0.12806,0,True
246,1,avtomobilizem,lastnistvo stranka,14,lastnistvo,stranka,0.00184,2,True
247,1,avtomobilizem,lastnistvo avtomobil,14,lastnistvo,avtomobil,0.00512,2,True
248,1,avtomobilizem,avtomobil model,14,avtomobil,model,0.00991,2,True
249,1,avtomobilizem,avtomobil drzava,14,avtomobil,drzava,0.02142,2,True
250,1,avtomobilizem,model drzava,14,model,drzava,0.12653,2,True
251,1,avtomobilizem,avtomobil stranka,14,avtomobil,stranka,0.12832,2,True
252,1,avtomobilizem,lastnistvo stranka,26,lastnistvo,stranka,0.00096,2,True
253,1,avtomobilizem,lastnistvo avtomobil,26,lastnistvo,avtomobil,0.00526,2,True
254,1,avtomobilizem,avtomobil model,26,avtomobil,model,0.01007,2,True
255,1,avtomobilizem,avtomobil drzava,26,avtomobil,drzava,0.01313,2,True
256,1,avtomobilizem,model drzava,26,model,drzava,0.11941,2,True
257,1,avtomobilizem,avtomobil stranka,26,avtomobil,stranka,0.12926,2,True
258,1,avtomobilizem,lastnistvo stranka,44,lastnistvo,stranka,0.00049,1,True
259,1,avtomobilizem,lastnistvo avtomobil,44,lastnistvo,avtomobil,0.00519,1,True
260,1,avtomobilizem,avtomobil model,44,avtomobil,model,0.00941,1,True
261,1,avtomobilizem,avtomobil drzava,44,avtomobil,drzava,0.0102,1,True
262,1,avtomobilizem,model drzava,44,model,drzava,0.11748,1,True
263,1,avtomobilizem,avtomobil stranka,44,avtomobil,stranka,0.12777,1,True
264,1,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,4,True
265,1,avtomobilizem,avtomobil model,1,avtomobil,model,0.00506,4,True
266,1,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00548,4,True
267,1,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.13904,4,True
268,1,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.19681,4,True
269,1,avtomobilizem,model drzava,1,model,drzava,0.21765,4,True
270,0,avtomobilizem,lastnistvo stranka,41,lastnistvo,stranka,0.00074,1,True
271,0,avtomobilizem,lastnistvo avtomobil,41,lastnistvo,avtomobil,0.00501,1,True
272,0,avtomobilizem,avtomobil drzava,41,avtomobil,drzava,0.01042,1,True
273,0,avtomobilizem,avtomobil model,41,avtomobil,model,0.01296,1,True
274,0,avtomobilizem,avtomobil stranka,41,avtomobil,stranka,0.12399,1,True
275,0,avtomobilizem,model drzava,41,model,drzava,0.20417,1,True
276,1,avtomobilizem,lastnistvo stranka,24,lastnistvo,stranka,0.00149,0,True
277,1,avtomobilizem,lastnistvo avtomobil,24,lastnistvo,avtomobil,0.00511,0,True
278,1,avtomobilizem,avtomobil model,24,avtomobil,model,0.00987,0,True
279,1,avtomobilizem,avtomobil drzava,24,avtomobil,drzava,0.01395,0,True
280,1,avtomobilizem,model drzava,24,model,drzava,0.11945,0,True
281,1,avtomobilizem,avtomobil stranka,24,avtomobil,stranka,0.12685,0,True
282,1,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00318,0,True
283,1,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00494,0,True
284,1,avtomobilizem,avtomobil model,4,avtomobil,model,0.00943,0,True
285,1,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.064,0,True
286,1,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.1322,0,True
287,1,avtomobilizem,model drzava,4,model,drzava,0.14868,0,True
288,1,avtomobilizem,lastnistvo stranka,34,lastnistvo,stranka,0.00036,2,True
289,1,avtomobilizem,lastnistvo avtomobil,34,lastnistvo,avtomobil,0.00504,2,True
290,1,avtomobilizem,avtomobil model,34,avtomobil,model,0.00987,2,True
291,1,avtomobilizem,avtomobil drzava,34,avtomobil,drzava,0.0113,2,True
292,1,avtomobilizem,model drzava,34,model,drzava,0.12056,2,True
293,1,avtomobilizem,avtomobil stranka,34,avtomobil,stranka,0.1245,2,True
294,0,avtomobilizem,lastnistvo stranka,42,lastnistvo,stranka,0.00041,0,True
295,0,avtomobilizem,lastnistvo avtomobil,42,lastnistvo,avtomobil,0.00527,0,True
296,0,avtomobilizem,avtomobil model,42,avtomobil,model,0.01277,0,True
297,0,avtomobilizem,avtomobil drzava,42,avtomobil,drzava,0.0484,0,True
298,0,avtomobilizem,avtomobil stranka,42,avtomobil,stranka,0.12902,0,True
299,0,avtomobilizem,model drzava,42,model,drzava,0.74412,0,True
300,1,avtomobilizem,lastnistvo stranka,33,lastnistvo,stranka,0.00309,3,True
301,1,avtomobilizem,lastnistvo avtomobil,33,lastnistvo,avtomobil,0.00618,3,True
302,1,avtomobilizem,avtomobil model,33,avtomobil,model,0.01045,3,True
303,1,avtomobilizem,avtomobil drzava,33,avtomobil,drzava,0.01227,3,True
304,1,avtomobilizem,model drzava,33,model,drzava,0.107,3,True
305,1,avtomobilizem,avtomobil stranka,33,avtomobil,stranka,0.12771,3,True
306,1,avtomobilizem,lastnistvo stranka,49,lastnistvo,stranka,0.00067,4,True
307,1,avtomobilizem,lastnistvo avtomobil,49,lastnistvo,avtomobil,0.00489,4,True
308,1,avtomobilizem,avtomobil drzava,49,avtomobil,drzava,0.01017,4,True
309,1,avtomobilizem,avtomobil model,49,avtomobil,model,0.01909,4,True
310,1,avtomobilizem,avtomobil stranka,49,avtomobil,stranka,0.12147,4,True
311,1,avtomobilizem,model drzava,49,model,drzava,0.25683,4,True
312,0,avtomobilizem,lastnistvo stranka,37,lastnistvo,stranka,0.00041,4,True
313,0,avtomobilizem,lastnistvo avtomobil,37,lastnistvo,avtomobil,0.00467,4,True
314,0,avtomobilizem,avtomobil drzava,37,avtomobil,drzava,0.01076,4,True
315,0,avtomobilizem,avtomobil model,37,avtomobil,model,0.01955,4,True
316,0,avtomobilizem,avtomobil stranka,37,avtomobil,stranka,0.11589,4,True
317,0,avtomobilizem,model drzava,37,model,drzava,0.26401,4,True
318,0,avtomobilizem,lastnistvo stranka,12,lastnistvo,stranka,0.00143,2,True
319,0,avtomobilizem,lastnistvo avtomobil,12,lastnistvo,avtomobil,0.00527,2,True
320,0,avtomobilizem,avtomobil model,12,avtomobil,model,0.01372,2,True
321,0,avtomobilizem,avtomobil drzava,12,avtomobil,drzava,0.0246,2,True
322,0,avtomobilizem,avtomobil stranka,12,avtomobil,stranka,0.12963,2,True
323,0,avtomobilizem,model drzava,12,model,drzava,0.23354,2,True
324,0,avtomobilizem,lastnistvo stranka,21,lastnistvo,stranka,0.00079,1,True
325,0,avtomobilizem,lastnistvo avtomobil,21,lastnistvo,avtomobil,0.00493,1,True
326,0,avtomobilizem,avtomobil model,21,avtomobil,model,0.01304,1,True
327,0,avtomobilizem,avtomobil drzava,21,avtomobil,drzava,0.01501,1,True
328,0,avtomobilizem,avtomobil stranka,21,avtomobil,stranka,0.12117,1,True
329,0,avtomobilizem,model drzava,21,model,drzava,0.22747,1,True
330,1,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.00077,4,True
331,1,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.00525,4,True
332,1,avtomobilizem,avtomobil model,18,avtomobil,model,0.00982,4,True
