,Dummy variable treshold,Ime podatkovne baze,Ime relacije,Latentni faktor,Objektni tip 1,Objektni tip 2,RMSE,St. ponovitve,Vzorcenje
1711,0,avtomobilizem,lastnistvo avtomobil,30,lastnistvo,avtomobil,0.00526,0,True
1712,0,avtomobilizem,avtomobil drzava,30,avtomobil,drzava,0.01239,0,True
1713,0,avtomobilizem,avtomobil model,30,avtomobil,model,0.01373,0,True
1714,0,avtomobilizem,avtomobil stranka,30,avtomobil,stranka,0.12929,0,True
1715,0,avtomobilizem,model drzava,30,model,drzava,0.23325,0,True
1716,1,avtomobilizem,lastnistvo stranka,33,lastnistvo,stranka,0.00052,0,True
1717,1,avtomobilizem,lastnistvo avtomobil,33,lastnistvo,avtomobil,0.00517,0,True
1718,1,avtomobilizem,avtomobil model,33,avtomobil,model,0.0113,0,True
1719,1,avtomobilizem,avtomobil drzava,33,avtomobil,drzava,0.01156,0,True
1720,1,avtomobilizem,model drzava,33,model,drzava,0.11406,0,True
1721,1,avtomobilizem,avtomobil stranka,33,avtomobil,stranka,0.12724,0,True
1722,0,avtomobilizem,lastnistvo stranka,36,lastnistvo,stranka,0.0009,0,True
1723,0,avtomobilizem,lastnistvo avtomobil,36,lastnistvo,avtomobil,0.00501,0,True
1724,0,avtomobilizem,avtomobil drzava,36,avtomobil,drzava,0.01125,0,True
1725,0,avtomobilizem,avtomobil model,36,avtomobil,model,0.01358,0,True
1726,0,avtomobilizem,avtomobil stranka,36,avtomobil,stranka,0.12405,0,True
1727,0,avtomobilizem,model drzava,36,model,drzava,0.23324,0,True
1728,2,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.0064,2,True
1729,2,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.00652,2,True
1730,2,avtomobilizem,avtomobil model,18,avtomobil,model,0.01452,2,True
1731,2,avtomobilizem,avtomobil drzava,18,avtomobil,drzava,0.021,2,True
1732,2,avtomobilizem,avtomobil stranka,18,avtomobil,stranka,0.13359,2,True
1733,2,avtomobilizem,model drzava,18,model,drzava,0.19156,2,True
1734,1,avtomobilizem,lastnistvo stranka,41,lastnistvo,stranka,0.00192,2,True
1735,1,avtomobilizem,lastnistvo avtomobil,41,lastnistvo,avtomobil,0.00504,2,True
1736,1,avtomobilizem,avtomobil model,41,avtomobil,model,0.0096,2,True
1737,1,avtomobilizem,avtomobil drzava,41,avtomobil,drzava,0.0102,2,True
1738,1,avtomobilizem,model drzava,41,model,drzava,0.11349,2,True
1739,1,avtomobilizem,avtomobil stranka,41,avtomobil,stranka,0.12703,2,True
1740,0,avtomobilizem,lastnistvo stranka,38,lastnistvo,stranka,0.00062,0,True
1741,0,avtomobilizem,lastnistvo avtomobil,38,lastnistvo,avtomobil,0.00494,0,True
1742,0,avtomobilizem,avtomobil model,38,avtomobil,model,0.01397,0,True
1743,0,avtomobilizem,avtomobil drzava,38,avtomobil,drzava,0.05911,0,True
1744,0,avtomobilizem,avtomobil stranka,38,avtomobil,stranka,0.12109,0,True
1745,0,avtomobilizem,model drzava,38,model,drzava,10.56967,0,True
1746,0,avtomobilizem,lastnistvo stranka,7,lastnistvo,stranka,0.00119,3,True
1747,0,avtomobilizem,lastnistvo avtomobil,7,lastnistvo,avtomobil,0.00522,3,True
1748,0,avtomobilizem,avtomobil model,7,avtomobil,model,0.01361,3,True
1749,0,avtomobilizem,avtomobil drzava,7,avtomobil,drzava,0.039,3,True
1750,0,avtomobilizem,avtomobil stranka,7,avtomobil,stranka,0.12932,3,True
1751,0,avtomobilizem,model drzava,7,model,drzava,0.2341,3,True
1752,1,avtomobilizem,lastnistvo stranka,42,lastnistvo,stranka,0.00052,0,True
1753,1,avtomobilizem,lastnistvo avtomobil,42,lastnistvo,avtomobil,0.00513,0,True
1754,1,avtomobilizem,avtomobil model,42,avtomobil,model,0.00978,0,True
1755,1,avtomobilizem,avtomobil drzava,42,avtomobil,drzava,0.01028,0,True
1756,1,avtomobilizem,model drzava,42,model,drzava,0.10881,0,True
1757,1,avtomobilizem,avtomobil stranka,42,avtomobil,stranka,0.12581,0,True
1758,1,avtomobilizem,lastnistvo stranka,3,lastnistvo,stranka,0.00285,2,True
1759,1,avtomobilizem,lastnistvo avtomobil,3,lastnistvo,avtomobil,0.00465,2,True
1760,1,avtomobilizem,avtomobil model,3,avtomobil,model,0.00881,2,True
1761,1,avtomobilizem,avtomobil drzava,3,avtomobil,drzava,0.08192,2,True
1762,1,avtomobilizem,avtomobil stranka,3,avtomobil,stranka,0.13061,2,True
1763,1,avtomobilizem,model drzava,3,model,drzava,0.15804,2,True
1764,0,avtomobilizem,lastnistvo stranka,39,lastnistvo,stranka,8e-05,3,True
1765,0,avtomobilizem,lastnistvo avtomobil,39,lastnistvo,avtomobil,0.00552,3,True
1766,0,avtomobilizem,avtomobil drzava,39,avtomobil,drzava,0.01092,3,True
1767,0,avtomobilizem,avtomobil model,39,avtomobil,model,0.01336,3,True
1768,0,avtomobilizem,avtomobil stranka,39,avtomobil,stranka,0.12891,3,True
1769,0,avtomobilizem,model drzava,39,model,drzava,0.21718,3,True
1770,1,avtomobilizem,lastnistvo stranka,31,lastnistvo,stranka,0.00151,3,True
1771,1,avtomobilizem,lastnistvo avtomobil,31,lastnistvo,avtomobil,0.00518,3,True
1772,1,avtomobilizem,avtomobil drzava,31,avtomobil,drzava,0.01169,3,True
1773,1,avtomobilizem,avtomobil model,31,avtomobil,model,0.01186,3,True
1774,1,avtomobilizem,model drzava,31,model,drzava,0.11692,3,True
1775,1,avtomobilizem,avtomobil stranka,31,avtomobil,stranka,0.1294,3,True
1776,1,avtomobilizem,lastnistvo stranka,48,lastnistvo,stranka,0.0004,2,True
1777,1,avtomobilizem,lastnistvo avtomobil,48,lastnistvo,avtomobil,0.00518,2,True
1778,1,avtomobilizem,avtomobil drzava,48,avtomobil,drzava,0.00962,2,True
1779,1,avtomobilizem,avtomobil model,48,avtomobil,model,0.00999,2,True
1780,1,avtomobilizem,model drzava,48,model,drzava,0.11602,2,True
1781,1,avtomobilizem,avtomobil stranka,48,avtomobil,stranka,0.12774,2,True
1782,1,avtomobilizem,lastnistvo stranka,16,lastnistvo,stranka,0.00109,1,True
1783,1,avtomobilizem,lastnistvo avtomobil,16,lastnistvo,avtomobil,0.00525,1,True
1784,1,avtomobilizem,avtomobil model,16,avtomobil,model,0.00985,1,True
1785,1,avtomobilizem,avtomobil drzava,16,avtomobil,drzava,0.01891,1,True
1786,1,avtomobilizem,model drzava,16,model,drzava,0.11801,1,True
1787,1,avtomobilizem,avtomobil stranka,16,avtomobil,stranka,0.12919,1,True
1788,1,avtomobilizem,lastnistvo stranka,30,lastnistvo,stranka,0.00155,4,True
1789,1,avtomobilizem,lastnistvo avtomobil,30,lastnistvo,avtomobil,0.00533,4,True
1790,1,avtomobilizem,avtomobil model,30,avtomobil,model,0.00956,4,True
1791,1,avtomobilizem,avtomobil drzava,30,avtomobil,drzava,0.01196,4,True
1792,1,avtomobilizem,model drzava,30,model,drzava,0.11206,4,True
1793,1,avtomobilizem,avtomobil stranka,30,avtomobil,stranka,0.12806,4,True
1794,2,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,3,True
1795,2,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.006,3,True
1796,2,avtomobilizem,avtomobil model,1,avtomobil,model,0.00731,3,True
1797,2,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.13996,3,True
1798,2,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.18686,3,True
1799,2,avtomobilizem,model drzava,1,model,drzava,0.25279,3,True
1800,1,avtomobilizem,lastnistvo stranka,44,lastnistvo,stranka,0.00169,0,True
1801,1,avtomobilizem,lastnistvo avtomobil,44,lastnistvo,avtomobil,0.00467,0,True
1802,1,avtomobilizem,avtomobil drzava,44,avtomobil,drzava,0.01331,0,True
1803,1,avtomobilizem,avtomobil model,44,avtomobil,model,0.07643,0,True
1804,1,avtomobilizem,avtomobil stranka,44,avtomobil,stranka,0.11836,0,True
1805,1,avtomobilizem,model drzava,44,model,drzava,24.97409,0,True
1806,1,avtomobilizem,lastnistvo stranka,25,lastnistvo,stranka,0.0007,2,True
1807,1,avtomobilizem,lastnistvo avtomobil,25,lastnistvo,avtomobil,0.00539,2,True
1808,1,avtomobilizem,avtomobil model,25,avtomobil,model,0.00989,2,True
1809,1,avtomobilizem,avtomobil drzava,25,avtomobil,drzava,0.01368,2,True
1810,1,avtomobilizem,model drzava,25,model,drzava,0.11823,2,True
1811,1,avtomobilizem,avtomobil stranka,25,avtomobil,stranka,0.12789,2,True
1812,1,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,0,True
1813,1,avtomobilizem,avtomobil model,1,avtomobil,model,0.00506,0,True
1814,1,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00553,0,True
1815,1,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.13893,0,True
1816,1,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.19681,0,True
1817,1,avtomobilizem,model drzava,1,model,drzava,0.21765,0,True
1818,2,avtomobilizem,lastnistvo stranka,2,lastnistvo,stranka,0.00322,0,True
1819,2,avtomobilizem,lastnistvo avtomobil,2,lastnistvo,avtomobil,0.00401,0,True
1820,2,avtomobilizem,avtomobil model,2,avtomobil,model,0.01099,0,True
1821,2,avtomobilizem,avtomobil drzava,2,avtomobil,drzava,0.11194,0,True
1822,2,avtomobilizem,avtomobil stranka,2,avtomobil,stranka,0.13197,0,True
1823,2,avtomobilizem,model drzava,2,model,drzava,0.22593,0,True
1824,0,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00208,3,True
1825,0,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00495,3,True
1826,0,avtomobilizem,avtomobil model,4,avtomobil,model,0.01282,3,True
1827,0,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06298,3,True
1828,0,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.1297,3,True
1829,0,avtomobilizem,model drzava,4,model,drzava,0.23587,3,True
1830,2,avtomobilizem,lastnistvo stranka,9,lastnistvo,stranka,0.00169,0,True
1831,2,avtomobilizem,lastnistvo avtomobil,9,lastnistvo,avtomobil,0.00526,0,True
1832,2,avtomobilizem,avtomobil model,9,avtomobil,model,0.01474,0,True
1833,2,avtomobilizem,avtomobil drzava,9,avtomobil,drzava,0.03422,0,True
1834,2,avtomobilizem,avtomobil stranka,9,avtomobil,stranka,0.12966,0,True
1835,2,avtomobilizem,model drzava,9,model,drzava,0.19796,0,True
1836,0,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.0017,4,True
1837,0,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.00529,4,True
1838,0,avtomobilizem,avtomobil drzava,18,avtomobil,drzava,0.01718,4,True
1839,0,avtomobilizem,avtomobil model,18,avtomobil,model,0.0195,4,True
1840,0,avtomobilizem,avtomobil stranka,18,avtomobil,stranka,0.1296,4,True
1841,0,avtomobilizem,model drzava,18,model,drzava,0.26546,4,True
1842,1,avtomobilizem,lastnistvo stranka,23,lastnistvo,stranka,0.00142,4,True
1843,1,avtomobilizem,lastnistvo avtomobil,23,lastnistvo,avtomobil,0.00505,4,True
1844,1,avtomobilizem,avtomobil model,23,avtomobil,model,0.00986,4,True
1845,1,avtomobilizem,avtomobil drzava,23,avtomobil,drzava,0.01436,4,True
1846,1,avtomobilizem,model drzava,23,model,drzava,0.11941,4,True
1847,1,avtomobilizem,avtomobil stranka,23,avtomobil,stranka,0.12564,4,True
1848,2,avtomobilizem,lastnistvo stranka,12,lastnistvo,stranka,0.00175,1,True
1849,2,avtomobilizem,lastnistvo avtomobil,12,lastnistvo,avtomobil,0.00522,1,True
1850,2,avtomobilizem,avtomobil model,12,avtomobil,model,0.01478,1,True
1851,2,avtomobilizem,avtomobil drzava,12,avtomobil,drzava,0.02784,1,True
1852,2,avtomobilizem,avtomobil stranka,12,avtomobil,stranka,0.12873,1,True
1853,2,avtomobilizem,model drzava,12,model,drzava,0.19718,1,True
1854,1,avtomobilizem,lastnistvo stranka,34,lastnistvo,stranka,0.00044,1,True
1855,1,avtomobilizem,lastnistvo avtomobil,34,lastnistvo,avtomobil,0.00504,1,True
1856,1,avtomobilizem,avtomobil model,34,avtomobil,model,0.00946,1,True
1857,1,avtomobilizem,avtomobil drzava,34,avtomobil,drzava,0.01166,1,True
1858,1,avtomobilizem,model drzava,34,model,drzava,0.11355,1,True
1859,1,avtomobilizem,avtomobil stranka,34,avtomobil,stranka,0.12454,1,True
1860,0,avtomobilizem,lastnistvo stranka,3,lastnistvo,stranka,0.00397,3,True
1861,0,avtomobilizem,lastnistvo avtomobil,3,lastnistvo,avtomobil,0.00465,3,True
1862,0,avtomobilizem,avtomobil model,3,avtomobil,model,0.01193,3,True
1863,0,avtomobilizem,avtomobil drzava,3,avtomobil,drzava,0.07991,3,True
1864,0,avtomobilizem,avtomobil stranka,3,avtomobil,stranka,0.13048,3,True
1865,0,avtomobilizem,model drzava,3,model,drzava,0.23762,3,True
1866,1,avtomobilizem,lastnistvo stranka,29,lastnistvo,stranka,0.00116,3,True
1867,1,avtomobilizem,lastnistvo avtomobil,29,lastnistvo,avtomobil,0.00511,3,True
1868,1,avtomobilizem,avtomobil model,29,avtomobil,model,0.00974,3,True
1869,1,avtomobilizem,avtomobil drzava,29,avtomobil,drzava,0.01258,3,True
1870,1,avtomobilizem,model drzava,29,model,drzava,0.12625,3,True
1871,1,avtomobilizem,avtomobil stranka,29,avtomobil,stranka,0.12673,3,True
1872,0,avtomobilizem,lastnistvo stranka,48,lastnistvo,stranka,4e-05,0,True
1873,0,avtomobilizem,lastnistvo avtomobil,48,lastnistvo,avtomobil,0.00523,0,True
1874,0,avtomobilizem,avtomobil drzava,48,avtomobil,drzava,0.00968,0,True
1875,0,avtomobilizem,avtomobil model,48,avtomobil,model,0.01502,0,True
1876,0,avtomobilizem,avtomobil stranka,48,avtomobil,stranka,0.12893,0,True
1877,0,avtomobilizem,model drzava,48,model,drzava,0.17153,0,True
1878,1,avtomobilizem,lastnistvo stranka,38,lastnistvo,stranka,0.00424,3,True
1879,1,avtomobilizem,lastnistvo avtomobil,38,lastnistvo,avtomobil,0.00715,3,True
1880,1,avtomobilizem,avtomobil drzava,38,avtomobil,drzava,0.03315,3,True
1881,1,avtomobilizem,avtomobil model,38,avtomobil,model,0.14265,3,True
1882,1,avtomobilizem,avtomobil stranka,38,avtomobil,stranka,0.16113,3,True
1883,1,avtomobilizem,model drzava,38,model,drzava,58.07138,3,True
1884,2,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00108,1,True
1885,2,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.00515,1,True
1886,2,avtomobilizem,avtomobil model,19,avtomobil,model,0.01444,1,True
1887,2,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.02011,1,True
1888,2,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.12705,1,True
1889,2,avtomobilizem,model drzava,19,model,drzava,0.18835,1,True
1890,0,avtomobilizem,lastnistvo stranka,5,lastnistvo,stranka,0.00209,4,True
1891,0,avtomobilizem,lastnistvo avtomobil,5,lastnistvo,avtomobil,0.0051,4,True
1892,0,avtomobilizem,avtomobil model,5,avtomobil,model,0.01326,4,True
1893,0,avtomobilizem,avtomobil drzava,5,avtomobil,drzava,0.05212,4,True
1894,0,avtomobilizem,avtomobil stranka,5,avtomobil,stranka,0.1295,4,True
1895,0,avtomobilizem,model drzava,5,model,drzava,0.23495,4,True
1896,2,avtomobilizem,lastnistvo stranka,7,lastnistvo,stranka,0.00233,1,True
1897,2,avtomobilizem,lastnistvo avtomobil,7,lastnistvo,avtomobil,0.00515,1,True
1898,2,avtomobilizem,avtomobil model,7,avtomobil,model,0.01459,1,True
1899,2,avtomobilizem,avtomobil drzava,7,avtomobil,drzava,0.04146,1,True
1900,2,avtomobilizem,avtomobil stranka,7,avtomobil,stranka,0.12906,1,True
1901,2,avtomobilizem,model drzava,7,model,drzava,0.20023,1,True
1902,2,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00283,2,True
1903,2,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00496,2,True
1904,2,avtomobilizem,avtomobil model,4,avtomobil,model,0.01382,2,True
1905,2,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06483,2,True
1906,2,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.1303,2,True
1907,2,avtomobilizem,model drzava,4,model,drzava,0.20868,2,True
1908,1,avtomobilizem,lastnistvo stranka,2,lastnistvo,stranka,0.00299,2,True
1909,1,avtomobilizem,lastnistvo avtomobil,2,lastnistvo,avtomobil,0.004,2,True
1910,1,avtomobilizem,avtomobil model,2,avtomobil,model,0.00755,2,True
1911,1,avtomobilizem,avtomobil drzava,2,avtomobil,drzava,0.11469,2,True
1912,1,avtomobilizem,avtomobil stranka,2,avtomobil,stranka,0.13201,2,True
1913,1,avtomobilizem,model drzava,2,model,drzava,0.17513,2,True
1914,2,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,4,True
1915,2,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00584,4,True
1916,2,avtomobilizem,avtomobil model,1,avtomobil,model,0.00731,4,True
1917,2,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.1397,4,True
1918,2,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.18686,4,True
1919,2,avtomobilizem,model drzava,1,model,drzava,0.25279,4,True
1920,0,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00097,4,True
1921,0,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.00469,4,True
1922,0,avtomobilizem,avtomobil model,19,avtomobil,model,0.01267,4,True
1923,0,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.03876,4,True
1924,0,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.11606,4,True
1925,0,avtomobilizem,model drzava,19,model,drzava,0.62664,4,True
1926,2,avtomobilizem,lastnistvo stranka,7,lastnistvo,stranka,0.00235,4,True
1927,2,avtomobilizem,lastnistvo avtomobil,7,lastnistvo,avtomobil,0.0052,4,True
1928,2,avtomobilizem,avtomobil model,7,avtomobil,model,0.01468,4,True
1929,2,avtomobilizem,avtomobil drzava,7,avtomobil,drzava,0.04173,4,True
1930,2,avtomobilizem,avtomobil stranka,7,avtomobil,stranka,0.12953,4,True
1931,2,avtomobilizem,model drzava,7,model,drzava,0.20103,4,True
1932,1,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.00092,3,True
1933,1,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.00525,3,True
1934,1,avtomobilizem,avtomobil model,20,avtomobil,model,0.00967,3,True
1935,1,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.01594,3,True
1936,1,avtomobilizem,model drzava,20,model,drzava,0.11556,3,True
1937,1,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.12927,3,True
1938,1,avtomobilizem,lastnistvo stranka,44,lastnistvo,stranka,0.00039,3,True
1939,1,avtomobilizem,lastnistvo avtomobil,44,lastnistvo,avtomobil,0.00487,3,True
1940,1,avtomobilizem,avtomobil drzava,44,avtomobil,drzava,0.07697,3,True
1941,1,avtomobilizem,avtomobil stranka,44,avtomobil,stranka,0.12015,3,True
1942,1,avtomobilizem,avtomobil model,44,avtomobil,model,0.31965,3,True
1943,1,avtomobilizem,model drzava,44,model,drzava,2201.72489,3,True
1944,0,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00252,2,True
1945,0,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00497,2,True
1946,0,avtomobilizem,avtomobil model,4,avtomobil,model,0.01281,2,True
1947,0,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06298,2,True
1948,0,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.13063,2,True
1949,0,avtomobilizem,model drzava,4,model,drzava,0.23587,2,True
1950,0,avtomobilizem,lastnistvo stranka,27,lastnistvo,stranka,0.00034,1,True
1951,0,avtomobilizem,lastnistvo avtomobil,27,lastnistvo,avtomobil,0.00494,1,True
1952,0,avtomobilizem,avtomobil drzava,27,avtomobil,drzava,0.01336,1,True
1953,0,avtomobilizem,avtomobil model,27,avtomobil,model,0.01388,1,True
1954,0,avtomobilizem,avtomobil stranka,27,avtomobil,stranka,0.12138,1,True
1955,0,avtomobilizem,model drzava,27,model,drzava,0.23328,1,True
1956,0,avtomobilizem,lastnistvo stranka,33,lastnistvo,stranka,0.00058,2,True
1957,0,avtomobilizem,lastnistvo avtomobil,33,lastnistvo,avtomobil,0.00525,2,True
1958,0,avtomobilizem,avtomobil drzava,33,avtomobil,drzava,0.01161,2,True
1959,0,avtomobilizem,avtomobil model,33,avtomobil,model,0.01362,2,True
1960,0,avtomobilizem,avtomobil stranka,33,avtomobil,stranka,0.12909,2,True
1961,0,avtomobilizem,model drzava,33,model,drzava,0.22521,2,True
1962,0,avtomobilizem,lastnistvo stranka,2,lastnistvo,stranka,0.00053,4,True
1963,0,avtomobilizem,lastnistvo avtomobil,2,lastnistvo,avtomobil,0.00398,4,True
1964,0,avtomobilizem,avtomobil model,2,avtomobil,model,0.01018,4,True
1965,0,avtomobilizem,avtomobil drzava,2,avtomobil,drzava,0.11002,4,True
1966,0,avtomobilizem,avtomobil stranka,2,avtomobil,stranka,0.12992,4,True
1967,0,avtomobilizem,model drzava,2,model,drzava,0.24137,4,True
1968,0,avtomobilizem,lastnistvo stranka,31,lastnistvo,stranka,0.00088,1,True
1969,0,avtomobilizem,lastnistvo avtomobil,31,lastnistvo,avtomobil,0.00525,1,True
1970,0,avtomobilizem,avtomobil model,31,avtomobil,model,0.01355,1,True
1971,0,avtomobilizem,avtomobil drzava,31,avtomobil,drzava,0.01471,1,True
1972,0,avtomobilizem,avtomobil stranka,31,avtomobil,stranka,0.12919,1,True
1973,0,avtomobilizem,model drzava,31,model,drzava,0.2729,1,True
1974,1,avtomobilizem,lastnistvo stranka,28,lastnistvo,stranka,0.00128,0,True
1975,1,avtomobilizem,lastnistvo avtomobil,28,lastnistvo,avtomobil,0.00506,0,True
1976,1,avtomobilizem,avtomobil model,28,avtomobil,model,0.00965,0,True
1977,1,avtomobilizem,avtomobil drzava,28,avtomobil,drzava,0.01231,0,True
1978,1,avtomobilizem,model drzava,28,model,drzava,0.11909,0,True
1979,1,avtomobilizem,avtomobil stranka,28,avtomobil,stranka,0.12612,0,True
1980,0,avtomobilizem,lastnistvo avtomobil,47,lastnistvo,avtomobil,0.00523,0,True
1981,0,avtomobilizem,avtomobil drzava,47,avtomobil,drzava,0.00984,0,True
1982,0,avtomobilizem,lastnistvo stranka,47,lastnistvo,stranka,0.01251,0,True
1983,0,avtomobilizem,avtomobil model,47,avtomobil,model,0.01651,0,True
1984,0,avtomobilizem,avtomobil stranka,47,avtomobil,stranka,0.12564,0,True
1985,0,avtomobilizem,model drzava,47,model,drzava,0.21014,0,True
1986,1,avtomobilizem,lastnistvo stranka,10,lastnistvo,stranka,0.00237,0,True
1987,1,avtomobilizem,lastnistvo avtomobil,10,lastnistvo,avtomobil,0.0052,0,True
1988,1,avtomobilizem,avtomobil model,10,avtomobil,model,0.01,0,True
1989,1,avtomobilizem,avtomobil drzava,10,avtomobil,drzava,0.02857,0,True
1990,1,avtomobilizem,avtomobil stranka,10,avtomobil,stranka,0.12979,0,True
1991,1,avtomobilizem,model drzava,10,model,drzava,0.13029,0,True
1992,1,avtomobilizem,lastnistvo stranka,6,lastnistvo,stranka,0.00254,3,True
1993,1,avtomobilizem,lastnistvo avtomobil,6,lastnistvo,avtomobil,0.0052,3,True
1994,1,avtomobilizem,avtomobil model,6,avtomobil,model,0.00994,3,True
1995,1,avtomobilizem,avtomobil drzava,6,avtomobil,drzava,0.04485,3,True
1996,1,avtomobilizem,avtomobil stranka,6,avtomobil,stranka,0.13003,3,True
1997,1,avtomobilizem,model drzava,6,model,drzava,0.13871,3,True
1998,2,avtomobilizem,lastnistvo stranka,10,lastnistvo,stranka,0.00153,3,True
1999,2,avtomobilizem,lastnistvo avtomobil,10,lastnistvo,avtomobil,0.00516,3,True
2000,2,avtomobilizem,avtomobil model,10,avtomobil,model,0.01473,3,True
2001,2,avtomobilizem,avtomobil drzava,10,avtomobil,drzava,0.0315,3,True
2002,2,avtomobilizem,avtomobil stranka,10,avtomobil,stranka,0.12722,3,True
2003,2,avtomobilizem,model drzava,10,model,drzava,0.19724,3,True
2004,1,avtomobilizem,lastnistvo stranka,5,lastnistvo,stranka,0.00226,0,True
2005,1,avtomobilizem,lastnistvo avtomobil,5,lastnistvo,avtomobil,0.00511,0,True
2006,1,avtomobilizem,avtomobil model,5,avtomobil,model,0.00976,0,True
2007,1,avtomobilizem,avtomobil drzava,5,avtomobil,drzava,0.05267,0,True
2008,1,avtomobilizem,avtomobil stranka,5,avtomobil,stranka,0.12963,0,True
2009,1,avtomobilizem,model drzava,5,model,drzava,0.14277,0,True
2010,0,avtomobilizem,lastnistvo stranka,30,lastnistvo,stranka,0.00086,3,True
2011,0,avtomobilizem,lastnistvo avtomobil,30,lastnistvo,avtomobil,0.00582,3,True
2012,0,avtomobilizem,avtomobil drzava,30,avtomobil,drzava,0.01277,3,True
2013,0,avtomobilizem,avtomobil model,30,avtomobil,model,0.01549,3,True
2014,0,avtomobilizem,avtomobil stranka,30,avtomobil,stranka,0.12917,3,True
2015,0,avtomobilizem,model drzava,30,model,drzava,0.22305,3,True
2016,1,avtomobilizem,lastnistvo stranka,23,lastnistvo,stranka,0.00103,0,True
2017,1,avtomobilizem,lastnistvo avtomobil,23,lastnistvo,avtomobil,0.00512,0,True
2018,1,avtomobilizem,avtomobil model,23,avtomobil,model,0.00965,0,True
2019,1,avtomobilizem,avtomobil drzava,23,avtomobil,drzava,0.01407,0,True
2020,1,avtomobilizem,model drzava,23,model,drzava,0.11152,0,True
2021,1,avtomobilizem,avtomobil stranka,23,avtomobil,stranka,0.12732,0,True
2022,2,avtomobilizem,lastnistvo stranka,2,lastnistvo,stranka,0.00323,2,True
2023,2,avtomobilizem,lastnistvo avtomobil,2,lastnistvo,avtomobil,0.004,2,True
2024,2,avtomobilizem,avtomobil model,2,avtomobil,model,0.01098,2,True
2025,2,avtomobilizem,avtomobil drzava,2,avtomobil,drzava,0.11194,2,True
2026,2,avtomobilizem,avtomobil stranka,2,avtomobil,stranka,0.13251,2,True
2027,2,avtomobilizem,model drzava,2,model,drzava,0.22593,2,True
2028,1,avtomobilizem,lastnistvo stranka,15,lastnistvo,stranka,0.00205,4,True
2029,1,avtomobilizem,lastnistvo avtomobil,15,lastnistvo,avtomobil,0.00517,4,True
2030,1,avtomobilizem,avtomobil model,15,avtomobil,model,0.00977,4,True
2031,1,avtomobilizem,avtomobil drzava,15,avtomobil,drzava,0.01978,4,True
2032,1,avtomobilizem,model drzava,15,model,drzava,0.11858,4,True
2033,1,avtomobilizem,avtomobil stranka,15,avtomobil,stranka,0.12896,4,True
2034,1,avtomobilizem,lastnistvo stranka,15,lastnistvo,stranka,0.00149,3,True
2035,1,avtomobilizem,lastnistvo avtomobil,15,lastnistvo,avtomobil,0.00525,3,True
2036,1,avtomobilizem,avtomobil model,15,avtomobil,model,0.01008,3,True
2037,1,avtomobilizem,avtomobil drzava,15,avtomobil,drzava,0.02027,3,True
2038,1,avtomobilizem,model drzava,15,model,drzava,0.12589,3,True
2039,1,avtomobilizem,avtomobil stranka,15,avtomobil,stranka,0.13004,3,True
